weights,total_change,ret_std,change_per_ret_std,d2,d3,d4,same_sign_days
"PEBBLES_L:-0.000, PEBBLES_M:0.333, PEBBLES_S:-0.333, PEBBLES_XL:1.000, PEBBLES_XS:-1.000",10995.578550000002,40.496982561806924,271.51599587002397,5577.504850000001,389.59280000000035,5028.4809000000005,True
"PEBBLES_L:0.471, PEBBLES_M:0.471, PEBBLES_S:-0.118, PEBBLES_XL:0.176, PEBBLES_XS:-1.000",5196.468500000001,19.177287742064543,270.9699395395614,2283.5287500000013,2330.804049999999,582.1357000000007,True
"PEBBLES_L:-0.000, PEBBLES_M:0.333, PEBBLES_S:0.333, PEBBLES_XL:0.333, PEBBLES_XS:-1.000",5602.17095,20.67735985365316,270.93260404858887,2567.7716999999993,1306.6563499999993,1727.742900000001,True
"PEBBLES_L:0.667, PEBBLES_M:0.667, PEBBLES_S:-0.583, PEBBLES_XL:0.250, PEBBLES_XS:-1.000",6517.928150000003,24.06626621045546,270.8325459795805,2771.7342499999995,2874.3835500000023,871.8103500000016,True
"PEBBLES_L:0.250, PEBBLES_M:0.667, PEBBLES_S:-1.000, PEBBLES_XL:0.667, PEBBLES_XS:-0.583",8602.469899999995,31.804881951369424,270.4763977163449,3796.816249999999,1426.976099999998,3378.6775499999976,True
"PEBBLES_L:-0.062, PEBBLES_M:0.250, PEBBLES_S:-0.062, PEBBLES_XL:0.875, PEBBLES_XS:-1.000",9697.6875,35.893891719469075,270.17654078284056,4966.375,309.96875,4421.34375,True
"PEBBLES_L:-0.091, PEBBLES_M:0.364, PEBBLES_S:0.364, PEBBLES_XL:0.364, PEBBLES_XS:-1.000",5830.7693,21.62725216603816,269.602872118734,2614.4336999999996,1234.72415,1981.6114500000003,True
"PEBBLES_L:0.111, PEBBLES_M:0.111, PEBBLES_S:0.111, PEBBLES_XL:0.667, PEBBLES_XS:-1.000",7829.895149999997,29.044273174283333,269.58481980305913,4209.919399999999,474.6953999999987,3145.280349999999,True
"PEBBLES_L:0.667, PEBBLES_M:0.111, PEBBLES_S:-0.444, PEBBLES_XL:0.667, PEBBLES_XS:-1.000",8420.30255,31.264532824836532,269.32443216650006,4733.766199999998,1070.0031000000017,2616.5332500000004,True
"PEBBLES_L:-0.429, PEBBLES_M:1.000, PEBBLES_S:-0.071, PEBBLES_XL:0.286, PEBBLES_XS:-0.786",6089.860850000001,22.63246157257606,269.0763808643394,1613.4283999999998,2170.2958,2306.1366500000013,True
"PEBBLES_L:0.429, PEBBLES_M:0.071, PEBBLES_S:0.071, PEBBLES_XL:0.429, PEBBLES_XS:-1.000",6136.221700000002,22.822806135173327,268.86359475941805,3440.1958000000013,1054.4279999999999,1641.5979000000007,True
"PEBBLES_L:0.176, PEBBLES_M:0.471, PEBBLES_S:0.176, PEBBLES_XL:0.176, PEBBLES_XS:-1.000",4883.840200000002,18.188685723637892,268.509790878018,2006.1924500000005,2015.6759000000002,861.9718500000017,True
"PEBBLES_L:0.429, PEBBLES_M:0.071, PEBBLES_S:-0.286, PEBBLES_XL:0.786, PEBBLES_XS:-1.000",9025.1607,33.62238171520244,268.42716784454484,5052.32375,563.2369500000004,3409.6000000000004,True
